PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,ZIP
10/21/2015,86,68,50,94301
10/22/2015,75,63,51,94301
10/23/2015,71,61,51,94301
10/24/2015,77,66,55,94301
10/25/2015,73,66,59,94301
10/26/2015,71,63,55,94301
10/27/2015,69,63,57,94301
10/28/2015,71,63,55,94301
10/29/2015,77,62,48,94301
10/30/2015,73,60,48,94301
10/31/2015,77,64,50,94301
11/1/2015,75,63,51,94301
11/2/2015,64,60,55,94301
11/3/2015,66,56,46,94301
11/4/2015,68,60,50,94301
11/5/2015,66,54,41,94301
11/6/2015,68,54,41,94301
11/7/2015,68,54,41,94301
11/8/2015,60,55,50,94301
11/9/2015,57,52,48,94301
11/10/2015,60,50,41,94301
11/11/2015,64,50,37,94301
11/12/2015,66,52,39,94301
11/13/2015,66,54,41,94301
11/14/2015,62,50,39,94301
11/15/2015,60,56,51,94301
11/16/2015,60,55,48,94301
11/17/2015,64,52,41,94301
11/18/2015,68,55,42,94301
11/19/2015,66,54,42,94301
11/20/2015,71,58,46,94301
11/21/2015,71,58,44,94301
11/22/2015,66,54,42,94301
11/23/2015,60,53,46,94301
11/24/2015,57,55,53,94301
11/25/2015,55,50,42,94301
11/26/2015,66,56,46,94301
11/27/2015,59,54,48,94301
11/28/2015,57,50,44,94301
11/29/2015,59,44,30,94301
11/30/2015,53,45,37,94301
12/1/2015,60,48,37,94301
12/2/2015,60,52,44,94301
12/3/2015,62,53,44,94301
12/4/2015,60,51,42,94301
12/5/2015,55,46,37,94301
12/6/2015,64,60,55,94301
12/7/2015,60,56,51,94301
12/8/2015,64,58,53,94301
12/9/2015,68,60,53,94301
12/10/2015,62,58,51,94301
12/11/2015,59,54,48,94301
12/12/2015,57,50,42,94301
12/13/2015,55,52,48,94301
12/14/2015,55,47,39,94301
12/15/2015,57,48,39,94301
12/16/2015,57,47,37,94301
12/17/2015,59,48,37,94301
12/18/2015,60,51,42,94301
12/19/2015,57,52,46,94301
12/20/2015,53,47,41,94301
12/21/2015,60,58,55,94301
12/22/2015,60,58,55,94301
12/23/2015,57,54,46,94301
12/24/2015,51,48,44,94301
12/25/2015,53,45,37,94301
12/26/2015,53,44,35,94301
12/27/2015,48,38,28,94301
12/28/2015,50,46,41,94301
12/29/2015,62,48,33,94301
12/30/2015,53,42,32,94301
12/31/2015,55,48,39,94301
1/1/2016,50,46,41,94301
1/2/2016,51,46,42,94301
1/3/2016,55,48,42,94301
1/4/2016,62,54,48,94301
1/5/2016,55,52,48,94301
1/6/2016,59,54,50,94301
1/7/2016,59,52,46,94301
1/8/2016,55,50,46,94301
1/9/2016,59,55,51,94301
